"Username","Location","Verified User?","Tweet ID","Tweet Time","Tweet Text","Tweet Place","Retweet Count","Favorite Count"
"Have You Heard","United States","False","1081187159963561985","2019-01-04 13:54:41","What's so funny about #edreform? In the latest @HaveYouHeardPod we talk to @roxannaelden about Adequate Yearly Progress, her hilarious new novel. You'll laugh. You'll cry. You'll want to read the book! https://t.co/QA6EV62qcN","","1","2"
"Myna","Melbourne, Victoria","False","1081185386771013632","2019-01-04 13:47:38","RT @eraser: v. 17, n. 1 (2018). Revista Brasileira de Aprendizagem Aberta e a Distância @abed_brasil https://t.co/Pn57JG4NFI  #elearning #m…","","3","0"
"Michelle Garrison","Missouri, USA","False","1081185049834336256","2019-01-04 13:46:17","Teacher buy in is crucial in innovation, and innovation must be personal to each school and community. #education #teacherbuyin #educationinnovation #edreform https://t.co/AF44PNggit","","0","1"
"Juan José Calderón Amador","Sevilla","False","1081183480418127872","2019-01-04 13:40:03","v. 17, n. 1 (2018). Revista Brasileira de Aprendizagem Aberta e a Distância @abed_brasil https://t.co/Pn57JG4NFI  #elearning #mlearning #PBL #ABP #aprendizaje #docencia #EaD #educación #edtech #edchat #edreform #pedagogía #pedagogy #pedagogie #education #digitaltransformation","","3","1"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1081182961284890625","2019-01-04 13:38:00","If Warren does succeed in gaining the Democratic nomination, will reformers decide to back Trump? Those reformers who do, especially in the face of Trump's regime of ethnic cleansing, bigotry, and weakening of civil rights, will have a lot of explaining to do. #edreform","","0","0"
"Jeremy Saavedra","Lima","False","1081179209383464960","2019-01-04 13:23:05","RT @eraser: Microlearning Infographic 2019 https://t.co/CiHCVEwLgU  #elearning #mlearning #mobilelearning #microlearning #learning  #edtech…","","3","0"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1081178728540061697","2019-01-04 13:21:10","Even if Warren ignored her progressive allies, she couldn't ignore suburbanites without risking her own political future. Unless reformers offered something that could help her blunt their opposition.

#edreform-ers have to learn how to do politics. https://t.co/aWkWmLuHKt","","0","0"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1081176956119453696","2019-01-04 13:14:08","Also, the greatest opposition to expanding choice during the Massachusetts charter fight came from suburban families, who haven't been actively courted in the effort to expand choice, and went along with NEA/AFT, who used their coalitions in cities and suburbs to win. #edreform","","0","0"
"Jacob Waters","Philadelphia, PA","False","1081176738078576640","2019-01-04 13:13:16","RT @dropoutnation: Warren deserves criticism for backing away from expanding school choice. But reformers have also not made it easy for De…","","2","0"
"Conor P. Williams","District of Columbia, USA","True","1081176573083045888","2019-01-04 13:12:36","RT @dropoutnation: Warren deserves criticism for backing away from expanding school choice. But reformers have also not made it easy for De…","","2","0"
"Conor P. Williams","District of Columbia, USA","True","1081176564841238529","2019-01-04 13:12:35","RT @dropoutnation: Of course, choice advocates would help their cause if they stood up for accountability measures to ensure that vouchers…","","1","0"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1081176486688755712","2019-01-04 13:12:16","Warren deserves criticism for backing away from expanding school choice. But reformers have also not made it easy for Democrat politicians or progressive activists to do so, either. Especially in their refusal to support efforts to help children outside of schools. #edreform","","2","1"
"estacion cadeaux","Sevilla","False","1081176485304692736","2019-01-04 13:12:16","RT @eraser: 3D Printing And It's Potential To Change The World. Larry King Now . @oraTV https://t.co/Ep9GwRwO3o   #3D #3Dprinting #tech #ma…","","2","0"
"RiShawn Biddle","ÜT: 38.7973156,-77.1318254","False","1081175653314166787","2019-01-04 13:08:57","Of course, choice advocates would help their cause if they stood up for accountability measures to ensure that vouchers work well for kids - and take strong stances for those kids outside of schoolhouse doors. Like backing BLM and criminal justice reform advocates. #edreform https://t.co/mYTBH8YHxK","","1","3"
"Ananya Deb Roy","New Delhi, India","False","1081174932799832064","2019-01-04 13:06:05","RT @etr_in: Technology has taken the front seat and society is becoming quite dependent on it. #Technology is helping students to enhance t…","","3","0"
"UTSAnoNIná","Zeviya-Caracas- ...","False","1081174277590867975","2019-01-04 13:03:29","RT @eraser: Ideas para Tejer: Reflexiones sobre la educación en Colombia 2010-2018. (I)  Video @Fundacion_ExE  https://t.co/vj2lOx9R3q   #e…","","2","0"
"Rashid F. Davis","","False","1081173987084906496","2019-01-04 13:02:20","#FlashbackFriday #FridayMotivation #FridayFeeling @rashidfdavis @PTECHNETWORK @NYCPTechSchools @CUNY @CityTechNews @NYSEDNews @NYCEDC @nycfuture First Friday of 2019 @citizenIBM @IBMNews #edreform #Innovations #edtech #CSforAllNYC https://t.co/7mKIyqvUXx","","0","4"
"Ananya Deb Roy","New Delhi, India","False","1081172083143520261","2019-01-04 12:54:46","#edleaders #edreform #ShiftInAttitude #education https://t.co/lgO56cv75a","","0","0"
"estacion cadeaux","Sevilla","False","1081171952591687681","2019-01-04 12:54:15","RT @eraser: Resumen del informe Ideas para Tejer: Reflexiones sobre la educación en Colombia 2010-2018.  @Fundacion_ExE https://t.co/Da05Cc…","","2","0"
"bitraka","Sevilla","False","1081169972880134144","2019-01-04 12:46:23","RT @eraser: Ideas para Tejer: Reflexiones sobre la educación en Colombia 2010-2018. (I)  Video @Fundacion_ExE  https://t.co/vj2lOx9R3q   #e…","","2","0"
"Juan José Calderón Amador","Sevilla","False","1081168380047036416","2019-01-04 12:40:03","3D Printing And It's Potential To Change The World. Larry King Now . @oraTV https://t.co/Ep9GwRwO3o   #3D #3Dprinting #tech #maker #making #open #EDtech #EDchat #education #edreform #elearning #mlearning #makers #openED #openEducation  #pedagogy #pedagogía #digitaltransformation","","2","1"
"FourPoint Education Partners","Washington, DC","False","1081167359870562304","2019-01-04 12:36:00","The question of whether money matters in educational outcomes ""is essentially settled,” says @KiraboJackson. It's time to ""focus on understanding what kinds of spending increases matter the most.” #edfinances #edreform https://t.co/Nmm5znuBzX","","1","2"
"UTSAnoNIná","Zeviya-Caracas- ...","False","1081166966734446593","2019-01-04 12:34:26","RT @eraser: Resumen del informe Ideas para Tejer: Reflexiones sobre la educación en Colombia 2010-2018.  @Fundacion_ExE https://t.co/Da05Cc…","","2","0"
"Juan José Calderón Amador","Sevilla","False","1081165887162540033","2019-01-04 12:30:09","Ideas para Tejer: Reflexiones sobre la educación en Colombia 2010-2018. (I)  Video @Fundacion_ExE  https://t.co/vj2lOx9R3q   #education #educación #edtech #edchat #pedagogy #pedagogie #pedagogía #edreform #Colombia #empresarios #fundación #video #digitaltransformation #TECh #TIC","","2","1"
"Juan José Calderón Amador","Sevilla","False","1081163345170976768","2019-01-04 12:20:03","Resumen del informe Ideas para Tejer: Reflexiones sobre la educación en Colombia 2010-2018.  @Fundacion_ExE https://t.co/Da05CcatNJ  #education #educación #edtech #edchat #pedagogy #pedagogie #pedagogía #edreform #Colombia #empresarios #fundación #digitaltransformation #TIC #tech","","2","1"
"Josh","Australia","False","1081152751508156416","2019-01-04 11:37:57","RT @jlubinsky: If People Talked to Other Professionals the Way They Talk to Teachers https://t.co/MMC4lfPfJX #edchat #edreform","","10","0"
"Miguel Melián","Glocal","False","1081117269449682944","2019-01-04 09:16:57","RT @TheFuturist007: How do you feel about robots giving ""tailored"" lessons to online students in the future? 📚🏫

#VirtualReality #AR #MR #V…","","203","0"
"Ethics Retweet Bot","London, England","False","1081041686225215495","2019-01-04 04:16:37","RT @eraser: eConfidence Serious Game against bullying School of Empathy @eConfidence_eu https://t.co/MbE9NSgeGk #realidadVirtual #VirtualRe…","","1","0"
"Juan José Calderón Amador","Sevilla","False","1081041298629554176","2019-01-04 04:15:05","eConfidence Serious Game against bullying School of Empathy @eConfidence_eu https://t.co/MbE9NSgeGk #realidadVirtual #VirtualReality #education #educación #edtech #edchat #AR #VR #RV #eConfidence #school #empathy #bullying #edreform #ethics #teaching","","1","1"
"Lisa Brady Gill","Dallas, TX","False","1081035041235443714","2019-01-04 03:50:13","RT @dadams123: ESSA evidence-statistically significant positive impacts on math achievement using Edmentum Exact Path program. #edchat #edr…","","7","0"
"Chidambara .ML.","Mysore  and  BERLIN ","False","1081034671415209984","2019-01-04 03:48:44","RT @eraser: Big Education in the Era of Big Data－金國慶 ... e-learning overload https://t.co/hqrXLIOoVO #elearning #mlearning #edreform AI #IA…","","3","0"
"EDU bot/human hybrid","","False","1081034187958829056","2019-01-04 03:46:49","RT @eraser: Big Education in the Era of Big Data－金國慶 ... e-learning overload https://t.co/hqrXLIOoVO #elearning #mlearning #edreform AI #IA…","","3","0"
"Juan José Calderón Amador","Sevilla","False","1081033743144574977","2019-01-04 03:45:03","Big Education in the Era of Big Data－金國慶 ... e-learning overload https://t.co/hqrXLIOoVO #elearning #mlearning #edreform AI #IA #tech #University #higherED #BigData #edtech #edchat #BigEducation #education #educación #BigEducation #digitaltransformation #TEch #TIC","","3","1"
"TheDailyEDU","","False","1081027596018683909","2019-01-04 03:20:38","RT @eraser: Meet the modern learner: Engaging the Overwhelmed, Distracted, and Impatient Employee . @Bersin @Deloitte https://t.co/LDa2qfXS…","","2","0"
"EDU bot/human hybrid","","False","1081026635716022278","2019-01-04 03:16:49","RT @eraser: Meet the modern learner: Engaging the Overwhelmed, Distracted, and Impatient Employee . @Bersin @Deloitte https://t.co/LDa2qfXS…","","2","0"
"Juan José Calderón Amador","Sevilla","False","1081026190389981190","2019-01-04 03:15:02","Meet the modern learner: Engaging the Overwhelmed, Distracted, and Impatient Employee . @Bersin @Deloitte https://t.co/LDa2qfXSL1  #elearning #education #edtech #edchat #edreform #business #RRHH #learning #infographic #infografía #empleo #K12 #higherED","","2","1"
"Jake Wertz","Madison, WI","False","1081025618668670978","2019-01-04 03:12:46","#edreform proponents of accountability and transparency should support this. https://t.co/QOY90DPTOG","","0","2"
"Lisa Karmacharya - MASA","","False","1081020843935842304","2019-01-04 02:53:48","@DouglasReeves As always, a thoughtful and sound approach to #edreform.  #makingadifference","","0","0"
"Vicki Pritko","","False","1081015829104414721","2019-01-04 02:33:52","RT @jlubinsky: If People Talked to Other Professionals the Way They Talk to Teachers https://t.co/MMC4lfPfJX #edchat #edreform","","10","0"
"Juan José Calderón Amador","Sevilla","False","1081014871725084682","2019-01-04 02:30:04","v. 40 n. 40 (2018): REVISTA LUSÓFONA DE EDUCAÇÃO https://t.co/0Zr3NJ9sn9 #education #educación #EDUCAÇÃO #edtech #edchat #edreform #investigación #research #cualitativa #escola #Investigação #Qualitativa #metodología #escuela #redes #aprendizagem #aprendizaje #pedagogia #pedagogy","","0","0"
"Clara Galán","San Francisco, Ca","False","1081004663019696129","2019-01-04 01:49:30","What worked (and didn’t) in 2018: 10 lessons from education research to take into 2019: https://t.co/jYB37vDHn0 via @Chalkbeat #edchat #edreform #edu #edtech","","1","2"
"Edie Houle","Ballston Spa, NY","False","1081003129146146818","2019-01-04 01:43:24","RT @jlubinsky: If People Talked to Other Professionals the Way They Talk to Teachers https://t.co/MMC4lfPfJX #edchat #edreform","","10","0"
"Scalar Humanity","","False","1081002041286279168","2019-01-04 01:39:05","RT @etr_in: Technology has taken the front seat and society is becoming quite dependent on it. #Technology is helping students to enhance t…","","3","0"
"vlics","New York","False","1081002038694215682","2019-01-04 01:39:04","RT @etr_in: Technology has taken the front seat and society is becoming quite dependent on it. #Technology is helping students to enhance t…","","3","0"
